idx,id,name
278,DB00289,Atomoxetine
279,DB00290,Bleomycin
280,DB00291,Chlorambucil
281,DB00292,Etomidate
282,DB00293,Raltitrexed
283,DB00294,Etonogestrel
284,DB00295,Morphine
285,DB00296,Ropivacaine
286,DB00297,Bupivacaine
287,DB00298,Dapiprazole
288,DB00299,Penciclovir
289,DB00300,Tenofovir disoproxil
290,DB00301,Flucloxacillin
291,DB00302,Tranexamic acid
292,DB00303,Ertapenem
293,DB00304,Desogestrel
294,DB00305,Mitomycin
295,DB00306,Talbutal
296,DB00307,Bexarotene
297,DB00308,Ibutilide
298,DB00309,Vindesine
299,DB00310,Chlorthalidone
300,DB00311,Ethoxzolamide
301,DB00312,Pentobarbital
302,DB00313,Valproic acid
303,DB00314,Capreomycin
304,DB00315,Zolmitriptan
305,DB00316,Acetaminophen
306,DB00317,Gefitinib
307,DB00318,Codeine
308,DB00319,Piperacillin
309,DB00320,Dihydroergotamine
310,DB00321,Amitriptyline
311,DB00322,Floxuridine
312,DB00323,Tolcapone
313,DB00324,Fluorometholone
314,DB00325,Nitroprusside
315,DB00326,Calcium glucoheptonate
316,DB00327,Hydromorphone
317,DB00328,Indomethacin
318,DB00330,Ethambutol
319,DB00331,Metformin
320,DB00332,Ipratropium
321,DB00333,Methadone
322,DB00334,Olanzapine
323,DB00335,Atenolol
324,DB00336,Nitrofural
325,DB00337,Pimecrolimus
326,DB00338,Omeprazole
327,DB00339,Pyrazinamide
328,DB00340,Metixene
329,DB00341,Cetirizine
330,DB00342,Terfenadine
331,DB00343,Diltiazem
332,DB00344,Protriptyline
333,DB00345,Aminohippuric acid
334,DB00346,Alfuzosin
335,DB00347,Trimethadione
336,DB00348,Nitisinone
337,DB00349,Clobazam
338,DB00350,Minoxidil
339,DB00351,Megestrol acetate
340,DB00352,Tioguanine
341,DB00353,Methylergometrine
342,DB00354,Buclizine
343,DB00355,Aztreonam
344,DB00356,Chlorzoxazone
345,DB00357,Aminoglutethimide
346,DB00358,Mefloquine
347,DB00359,Sulfadiazine
348,DB00360,Sapropterin
349,DB00361,Vinorelbine
350,DB00362,Anidulafungin
351,DB00363,Clozapine
352,DB00364,Sucralfate
353,DB00365,Grepafloxacin
354,DB00366,Doxylamine
355,DB00367,Levonorgestrel
356,DB00368,Norepinephrine
357,DB00369,Cidofovir
358,DB00370,Mirtazapine
359,DB00371,Meprobamate
360,DB00372,Thiethylperazine
361,DB00373,Timolol
362,DB00374,Treprostinil
363,DB00375,Colestipol
364,DB00376,Trihexyphenidyl
365,DB00377,Palonosetron
366,DB00378,Dydrogesterone
367,DB00379,Mexiletine
368,DB00380,Dexrazoxane
369,DB00381,Amlodipine
370,DB00382,Tacrine
371,DB00383,Oxyphencyclimine
372,DB00384,Triamterene
373,DB00385,Valrubicin
374,DB00387,Procyclidine
375,DB00388,Phenylephrine
376,DB00389,Carbimazole
377,DB00390,Digoxin
378,DB00391,Sulpiride
379,DB00392,Profenamine
380,DB00393,Nimodipine
381,DB00394,Beclomethasone dipropionate
382,DB00395,Carisoprodol
383,DB00396,Progesterone
384,DB00397,Phenylpropanolamine
385,DB00398,Sorafenib
386,DB00399,Zoledronic acid
387,DB00400,Griseofulvin
388,DB00401,Nisoldipine
389,DB00402,Eszopiclone
390,DB00403,Ceruletide
391,DB00404,Alprazolam
392,DB00405,Dexbrompheniramine
393,DB00406,Gentian violet cation
394,DB00407,Ardeparin
395,DB00408,Loxapine
396,DB00409,Remoxipride
397,DB00410,Mupirocin
398,DB00411,Carbamoylcholine
399,DB00412,Rosiglitazone
400,DB00413,Pramipexole
401,DB00414,Acetohexamide
402,DB00415,Ampicillin
403,DB00416,Metocurine iodide
404,DB00417,Phenoxymethylpenicillin
405,DB00418,Secobarbital
406,DB00419,Miglustat
407,DB00420,Promazine
408,DB00421,Spironolactone
409,DB00422,Methylphenidate
410,DB00423,Methocarbamol
411,DB00424,Hyoscyamine
412,DB00425,Zolpidem
413,DB00426,Famciclovir
414,DB00427,Triprolidine
415,DB00428,Streptozocin
416,DB00429,Carboprost tromethamine
417,DB00430,Cefpiramide
418,DB00431,Lindane
419,DB00432,Trifluridine
420,DB00433,Prochlorperazine
421,DB00434,Cyproheptadine
422,DB00435,Nitric Oxide
423,DB00436,Bendroflumethiazide
424,DB00437,Allopurinol
425,DB00438,Ceftazidime
426,DB00439,Cerivastatin
427,DB00440,Trimethoprim
428,DB00441,Gemcitabine
429,DB00442,Entecavir
430,DB00443,Betamethasone
431,DB00444,Teniposide
432,DB00445,Epirubicin
433,DB00446,Chloramphenicol
434,DB00447,Loracarbef
435,DB00448,Lansoprazole
436,DB00449,Dipivefrin
437,DB00450,Droperidol
438,DB00451,Levothyroxine
439,DB00452,Framycetin
440,DB00453,Clomocycline
441,DB00454,Meperidine
442,DB00455,Loratadine
443,DB00456,Cefalotin
444,DB00457,Prazosin
445,DB00458,Imipramine
446,DB00459,Acitretin
447,DB00460,Verteporfin
448,DB00461,Nabumetone
449,DB00462,Methscopolamine bromide
450,DB00463,Metharbital
451,DB00464,Sodium tetradecyl sulfate
452,DB00465,Ketorolac
453,DB00466,Picrotoxin
454,DB00467,Enoxacin
455,DB00468,Quinine
456,DB00469,Tenoxicam
457,DB00470,Dronabinol
458,DB00471,Montelukast
459,DB00472,Fluoxetine
460,DB00473,Hexylcaine
461,DB00474,Methohexital
462,DB00475,Chlordiazepoxide
463,DB00476,Duloxetine
464,DB00477,Chlorpromazine
465,DB00478,Rimantadine
466,DB00479,Amikacin
467,DB00480,Lenalidomide
468,DB00481,Raloxifene
469,DB00482,Celecoxib
470,DB00483,Gallamine triethiodide
471,DB00484,Brimonidine
472,DB00485,Dicloxacillin
473,DB00486,Nabilone
474,DB00487,Pefloxacin
475,DB00488,Altretamine
476,DB00489,Sotalol
477,DB00490,Buspirone
478,DB00491,Miglitol
479,DB00492,Fosinopril
480,DB00493,Cefotaxime
481,DB00494,Entacapone
482,DB00495,Zidovudine
483,DB00496,Darifenacin
484,DB00497,Oxycodone
485,DB00498,Phenindione
486,DB00499,Flutamide
487,DB00500,Tolmetin
488,DB00501,Cimetidine
489,DB00502,Haloperidol
490,DB00503,Ritonavir
491,DB00504,Levallorphan
492,DB00505,Tridihexethyl
493,DB00507,Nitazoxanide
494,DB00508,Triflupromazine
495,DB00509,Dextrothyroxine
496,DB00511,Acetyldigitoxin
497,DB00512,Vancomycin
498,DB00513,Aminocaproic acid
499,DB00514,Dextromethorphan
500,DB00515,Cisplatin
501,DB00516,Bentoquatam
502,DB00517,Anisotropine methylbromide
503,DB00518,Albendazole
504,DB00519,Trandolapril
505,DB00520,Caspofungin
506,DB00521,Carteolol
507,DB00522,Bentiromide
508,DB00523,Alitretinoin
509,DB00524,Metolazone
510,DB00525,Tolnaftate
511,DB00526,Oxaliplatin
512,DB00527,Cinchocaine
513,DB00528,Lercanidipine
514,DB00529,Foscarnet
515,DB00530,Erlotinib
516,DB00531,Cyclophosphamide
517,DB00532,Mephenytoin
518,DB00533,Rofecoxib
519,DB00534,Chlormerodrin
520,DB00535,Cefdinir
521,DB00536,Guanidine
522,DB00537,Ciprofloxacin
523,DB00538,Gadoversetamide
524,DB00539,Toremifene
525,DB00540,Nortriptyline
526,DB00541,Vincristine
527,DB00542,Benazepril
528,DB00543,Amoxapine
529,DB00544,Fluorouracil
530,DB00545,Pyridostigmine
531,DB00546,Adinazolam
532,DB00547,Desoximetasone
533,DB00548,Azelaic acid
534,DB00549,Zafirlukast
535,DB00550,Propylthiouracil
536,DB00551,Acetohydroxamic acid
537,DB00552,Pentostatin
538,DB00553,Methoxsalen
539,DB00554,Piroxicam
540,DB00555,Lamotrigine
541,DB00556,Perflutren
542,DB00557,Hydroxyzine
543,DB00558,Zanamivir
544,DB00559,Bosentan
545,DB00560,Tigecycline
546,DB00561,Doxapram
547,DB00562,Benzthiazide
548,DB00563,Methotrexate
549,DB00564,Carbamazepine
550,DB00565,Cisatracurium
551,DB00566,Succimer
552,DB00567,Cephalexin
553,DB00568,Cinnarizine
554,DB00569,Fondaparinux
555,DB00570,Vinblastine
556,DB00571,Propranolol
557,DB00572,Atropine
558,DB00573,Fenoprofen
559,DB00574,Fenfluramine
560,DB00575,Clonidine
561,DB00576,Sulfamethizole
562,DB00577,Valaciclovir
563,DB00578,Carbenicillin
564,DB00579,Mazindol
565,DB00580,Valdecoxib
566,DB00581,Lactulose
567,DB00582,Voriconazole
568,DB00583,Levocarnitine
569,DB00584,Enalapril
570,DB00585,Nizatidine
571,DB00586,Diclofenac
572,DB00587,Cinalukast
573,DB00588,Fluticasone propionate
574,DB00589,Lisuride
575,DB00590,Doxazosin
576,DB00591,Fluocinolone acetonide
577,DB00592,Piperazine
578,DB00593,Ethosuximide
579,DB00594,Amiloride
580,DB00595,Oxytetracycline
581,DB00596,Ulobetasol
582,DB00597,Gadoteridol
583,DB00598,Labetalol
584,DB00599,Thiopental
585,DB00600,Monobenzone
586,DB00601,Linezolid
587,DB00602,Ivermectin
588,DB00603,Medroxyprogesterone acetate
589,DB00604,Cisapride
590,DB00605,Sulindac
591,DB00606,Cyclothiazide
592,DB00607,Nafcillin
593,DB00608,Chloroquine
594,DB00609,Ethionamide
595,DB00610,Metaraminol
596,DB00611,Butorphanol
597,DB00612,Bisoprolol
598,DB00613,Amodiaquine
599,DB00614,Furazolidone
600,DB00615,Rifabutin
601,DB00616,Candoxatril
602,DB00617,Paramethadione
603,DB00618,Demeclocycline
604,DB00619,Imatinib
605,DB00620,Triamcinolone
606,DB00621,Oxandrolone
607,DB00622,Nicardipine
608,DB00623,Fluphenazine
609,DB00624,Testosterone
610,DB00625,Efavirenz
611,DB00626,Bacitracin
612,DB00627,Niacin
613,DB00628,Clorazepic acid
614,DB00629,Guanabenz
615,DB00630,Alendronic acid
616,DB00631,Clofarabine
617,DB00632,Docosanol
618,DB00633,Dexmedetomidine
619,DB00634,Sulfacetamide
620,DB00635,Prednisone
621,DB00636,Clofibrate
622,DB00637,Astemizole
623,DB00638,Inulin
624,DB00639,Butoconazole
625,DB00640,Adenosine
626,DB00641,Simvastatin
627,DB00642,Pemetrexed
628,DB00643,Mebendazole
629,DB00644,Gonadorelin
630,DB00645,Dyclonine
631,DB00646,Nystatin
632,DB00647,Dextropropoxyphene
633,DB00648,Mitotane
634,DB00649,Stavudine
635,DB00650,Leucovorin
636,DB00651,Dyphylline
637,DB00652,Pentazocine
638,DB00653,Magnesium sulfate
639,DB00654,Latanoprost
640,DB00655,Estrone
641,DB00656,Trazodone
642,DB00657,Mecamylamine
643,DB00658,Sevelamer
644,DB00659,Acamprosate
645,DB00660,Metaxalone
646,DB00661,Verapamil
647,DB00662,Trimethobenzamide
648,DB00663,Flumethasone
649,DB00664,Sulfametopyrazine
650,DB00665,Nilutamide
651,DB00666,Nafarelin
652,DB00668,Epinephrine
653,DB00669,Sumatriptan
654,DB00670,Pirenzepine
655,DB00671,Cefixime
656,DB00672,Chlorpropamide
657,DB00673,Aprepitant
658,DB00674,Galantamine
659,DB00675,Tamoxifen
660,DB00676,Benzyl benzoate
661,DB00677,Isoflurophate
662,DB00678,Losartan
663,DB00679,Thioridazine
664,DB00680,Moricizine
665,DB00681,Amphotericin B
666,DB00682,Warfarin
667,DB00683,Midazolam
668,DB00684,Tobramycin
669,DB00685,Trovafloxacin
670,DB00686,Pentosan polysulfate
671,DB00687,Fludrocortisone
672,DB00688,Mycophenolate mofetil
673,DB00689,Cephaloglycin
674,DB00690,Flurazepam
675,DB00691,Moexipril
676,DB00692,Phentolamine
677,DB00693,Fluorescein
678,DB00694,Daunorubicin
679,DB00695,Furosemide
680,DB00696,Ergotamine
681,DB00697,Tizanidine
682,DB00698,Nitrofurantoin
683,DB00699,Nicergoline
684,DB00700,Eplerenone
685,DB00701,Amprenavir
686,DB00702,Icodextrin
687,DB00703,Methazolamide
688,DB00704,Naltrexone
689,DB00705,Delavirdine
690,DB00706,Tamsulosin
691,DB00707,Porfimer sodium
692,DB00708,Sufentanil
693,DB00709,Lamivudine
694,DB00710,Ibandronate
695,DB00711,Diethylcarbamazine
696,DB00712,Flurbiprofen
697,DB00713,Oxacillin
698,DB00714,Apomorphine
699,DB00715,Paroxetine
700,DB00716,Nedocromil
701,DB00717,Norethisterone
702,DB00718,Adefovir dipivoxil
703,DB00719,Azatadine
704,DB00720,Clodronic acid
705,DB00721,Procaine
706,DB00722,Lisinopril
707,DB00723,Methoxamine
708,DB00724,Imiquimod
709,DB00725,Homatropine methylbromide
710,DB00726,Trimipramine
711,DB00727,Nitroglycerin
712,DB00728,Rocuronium
713,DB00730,Thiabendazole
714,DB00731,Nateglinide
715,DB00732,Atracurium besylate
716,DB00733,Pralidoxime
717,DB00734,Risperidone
718,DB00735,Naftifine
719,DB00736,Esomeprazole
720,DB00737,Meclizine
721,DB00738,Pentamidine
722,DB00739,Hetacillin
723,DB00740,Riluzole
724,DB00741,Hydrocortisone
725,DB00742,Mannitol
726,DB00743,Gadobenic acid
727,DB00744,Zileuton
728,DB00745,Modafinil
729,DB00746,Deferoxamine
730,DB00747,Scopolamine
731,DB00748,Carbinoxamine
732,DB00749,Etodolac
733,DB00750,Prilocaine
734,DB00751,Epinastine
735,DB00752,Tranylcypromine
736,DB00753,Isoflurane
737,DB00754,Ethotoin
738,DB00755,Tretinoin
739,DB00756,Hexachlorophene
740,DB00757,Dolasetron
741,DB00758,Clopidogrel
742,DB00759,Tetracycline
743,DB00760,Meropenem
744,DB00761,Potassium chloride
745,DB00762,Irinotecan
746,DB00763,Methimazole
747,DB00764,Mometasone
748,DB00765,Metyrosine
749,DB00766,Clavulanic acid
750,DB00767,Benzquinamide
751,DB00768,Olopatadine
752,DB00769,Hydrocortamate
753,DB00770,Alprostadil
754,DB00771,Clidinium
755,DB00772,Malathion
756,DB00773,Etoposide
757,DB00774,Hydroflumethiazide
758,DB00775,Tirofiban
759,DB00776,Oxcarbazepine
760,DB00777,Propiomazine
761,DB00778,Roxithromycin
762,DB00779,Nalidixic acid
763,DB00780,Phenelzine
764,DB00782,Propantheline
765,DB00783,Estradiol
766,DB00784,Mefenamic acid
767,DB00785,Cryptenamine
768,DB00786,Marimastat
769,DB00787,Acyclovir
770,DB00788,Naproxen
771,DB00789,Gadopentetic acid
772,DB00790,Perindopril
773,DB00791,Uracil mustard
774,DB00792,Tripelennamine
775,DB00793,Haloprogin
776,DB00794,Primidone
777,DB00795,Sulfasalazine
778,DB00796,Candesartan cilexetil
779,DB00797,Tolazoline
780,DB00798,Gentamicin
781,DB00799,Tazarotene
782,DB00800,Fenoldopam
783,DB00801,Halazepam
784,DB00802,Alfentanil
785,DB00803,Colistin
786,DB00804,Dicyclomine
787,DB00805,Minaprine
788,DB00806,Pentoxifylline
789,DB00807,Proparacaine
790,DB00808,Indapamide
791,DB00809,Tropicamide
792,DB00810,Biperiden
793,DB00811,Ribavirin
794,DB00812,Phenylbutazone
795,DB00813,Fentanyl
796,DB00814,Meloxicam
797,DB00815,Sodium lauryl sulfate
798,DB00816,Orciprenaline
799,DB00817,Rosoxacin
800,DB00818,Propofol
801,DB00819,Acetazolamide
802,DB00820,Tadalafil
803,DB00821,Carprofen
804,DB00822,Disulfiram
805,DB00823,Ethynodiol diacetate
806,DB00824,Enprofylline
807,DB00825,Levomenthol
808,DB00826,Natamycin
809,DB00827,Cinoxacin
810,DB00828,Fosfomycin
811,DB00829,Diazepam
812,DB00830,Phenmetrazine
813,DB00831,Trifluoperazine
814,DB00832,Phensuximide
815,DB00833,Cefaclor
816,DB00834,Mifepristone
817,DB00835,Brompheniramine
818,DB00836,Loperamide
819,DB00837,Progabide
820,DB00838,Clocortolone
821,DB00839,Tolazamide
822,DB00840,Hydroxypropyl cellulose
823,DB00841,Dobutamine
824,DB00842,Oxazepam
825,DB00843,Donepezil
826,DB00844,Nalbuphine
827,DB00845,Clofazimine
828,DB00846,Flurandrenolide
829,DB00847,Cysteamine
830,DB00848,Levamisole
831,DB00849,Methylphenobarbital
832,DB00850,Perphenazine
833,DB00851,Dacarbazine
834,DB00852,Pseudoephedrine
835,DB00853,Temozolomide
836,DB00854,Levorphanol
837,DB00855,Aminolevulinic acid
838,DB00856,Chlorphenesin
839,DB00857,Terbinafine
840,DB00858,Drostanolone
841,DB00859,Penicillamine
842,DB00860,Prednisolone
843,DB00861,Diflunisal
844,DB00862,Vardenafil
845,DB00863,Ranitidine
846,DB00864,Tacrolimus
847,DB00865,Benzphetamine
848,DB00866,Alprenolol
849,DB00867,Ritodrine
850,DB00868,Benzonatate
851,DB00869,Dorzolamide
852,DB00870,Suprofen
853,DB00871,Terbutaline
854,DB00872,Conivaptan
855,DB14596,Loteprednol etabonate
856,DB00874,Guaifenesin
857,DB00875,Flupentixol
858,DB00876,Eprosartan
859,DB00877,Sirolimus
860,DB00878,Chlorhexidine
861,DB00879,Emtricitabine
862,DB00880,Chlorothiazide
863,DB00881,Quinapril
864,DB00882,Clomifene
865,DB00883,Isosorbide dinitrate
866,DB00884,Risedronic acid
867,DB00885,Pemirolast
868,DB00886,Omapatrilat
869,DB00887,Bumetanide
870,DB00888,Mechlorethamine
871,DB00889,Granisetron
872,DB00890,Dienestrol
873,DB00891,Sulfapyridine
874,DB00892,Oxybuprocaine
875,DB00893,Iron Dextran
876,DB00894,Testolactone
877,DB00895,Benzylpenicilloyl polylysine
878,DB00896,Rimexolone
879,DB00897,Triazolam
880,DB00898,Ethanol
881,DB00899,Remifentanil
882,DB00900,Didanosine
883,DB00901,Bitolterol
884,DB00902,Methdilazine
885,DB00903,Etacrynic acid
886,DB00904,Ondansetron
887,DB00905,Bimatoprost
888,DB00906,Tiagabine
889,DB00907,Cocaine
890,DB00908,Quinidine
891,DB00909,Zonisamide
892,DB00910,Paricalcitol
893,DB00911,Tinidazole
894,DB00912,Repaglinide
895,DB00913,Anileridine
896,DB00914,Phenformin
897,DB00915,Amantadine
898,DB00916,Metronidazole
899,DB00917,Dinoprostone
900,DB00918,Almotriptan
901,DB00919,Spectinomycin
902,DB00920,Ketotifen
903,DB00921,Buprenorphine
904,DB00922,Levosimendan
905,DB00923,Ceforanide
906,DB00924,Cyclobenzaprine
907,DB00925,Phenoxybenzamine
908,DB00926,Etretinate
909,DB00927,Famotidine
910,DB00928,Azacitidine
911,DB00929,Misoprostol
912,DB00930,Colesevelam
913,DB00931,Metacycline
914,DB00932,Tipranavir
915,DB00933,Mesoridazine
916,DB00934,Maprotiline
917,DB00935,Oxymetazoline
918,DB00936,Salicylic acid
919,DB00937,Diethylpropion
920,DB00938,Salmeterol
921,DB00939,Meclofenamic acid
922,DB00940,Methantheline
923,DB00941,Hexafluronium
924,DB00942,Cycrimine
925,DB00943,Zalcitabine
926,DB00944,Demecarium
927,DB00945,Acetylsalicylic acid
928,DB00946,Phenprocoumon
929,DB00947,Fulvestrant
930,DB00948,Mezlocillin
931,DB00949,Felbamate
932,DB00950,Fexofenadine
933,DB00951,Isoniazid
934,DB00952,Naratriptan
935,DB00953,Rizatriptan
936,DB00954,Dirithromycin
937,DB00955,Netilmicin
938,DB00956,Hydrocodone
939,DB00957,Norgestimate
940,DB00958,Carboplatin
941,DB00959,Methylprednisolone
942,DB00960,Pindolol
943,DB00961,Mepivacaine
944,DB00962,Zaleplon
945,DB00963,Bromfenac
946,DB00964,Apraclonidine
947,DB00965,Ethiodized oil
948,DB00966,Telmisartan
949,DB00967,Desloratadine
950,DB00968,Methyldopa
951,DB00969,Alosetron
952,DB00970,Dactinomycin
953,DB00971,Selenium Sulfide
954,DB00972,Azelastine
955,DB00973,Ezetimibe
